date_time,jhj_flow_1,tjv_flow_2,phb_flow_3,hyj_flow_4,ngt_flow_5,ngt_sub_flow_6,agd_flow_7,thj_vv_open_1,thj_vv_open_2,thj_vv_open_3,thj_pre_1,phb_pre_2,hyj_pre_3,thj_pre_4,agd_pre_5,ngt_sub_pre_6,agd_new_pre_7
2022-01-01 01:00:00,6450.0,6914.0,4166.0,2023.0,10656.0,10989.0,10795.0,34.9,0.0,0.0,3.65,9.31,2.95,0.0,0.0,2.53,1.01
2022-01-01 02:00:00,6342.0,6676.0,4224.0,1879.0,10304.0,11028.0,10714.0,34.8,0.0,0.0,3.64,9.37,3.05,0.0,0.0,2.52,1.0
2022-01-01 03:00:00,6523.0,6873.0,4375.0,1877.0,10624.0,11010.0,10833.0,34.8,0.0,0.0,3.62,9.29,2.94,0.0,0.0,2.53,1.0
2022-01-01 04:00:00,6675.0,7140.0,4376.0,1945.0,10464.0,10994.0,10820.0,34.9,0.0,0.0,3.61,9.23,2.89,0.0,0.0,2.52,1.0
2022-01-01 05:00:00,6779.0,7214.0,4411.0,2088.0,10464.0,10994.0,10817.0,34.9,0.0,0.0,3.61,9.14,2.78,0.0,0.0,2.52,1.01
2022-01-01 06:00:00,6850.0,7273.0,4421.0,2085.0,10304.0,11020.0,10849.0,34.8,0.0,0.0,3.61,9.09,2.74,0.0,0.0,2.52,1.01
2022-01-01 07:00:00,6789.0,7171.0,4408.0,2116.0,10656.0,10976.0,10807.0,34.9,0.0,0.0,3.61,9.13,2.79,0.0,0.0,2.51,1.01
2022-01-01 08:00:00,6558.0,6879.0,4112.0,2080.0,10464.0,10979.0,10763.0,34.9,0.0,0.0,3.62,9.31,2.96,0.0,0.0,2.51,1.01
2022-01-01 09:00:00,6479.0,6842.0,4083.0,2077.0,10272.0,10979.0,10825.0,34.7,0.0,0.0,3.63,9.27,2.97,0.0,0.0,2.52,1.01
2022-01-01 10:00:00,6512.0,6984.0,4142.0,2129.0,10464.0,11046.0,10765.0,34.7,0.0,0.0,3.64,9.29,2.93,0.0,0.0,2.53,1.01
2022-01-01 11:00:00,6667.0,7074.0,4081.0,2256.0,10656.0,11010.0,10759.0,34.8,0.0,0.0,3.63,9.2,2.85,0.0,0.0,2.53,1.02
2022-01-01 12:00:00,6755.0,7226.0,4043.0,2369.0,10464.0,11015.0,10815.0,34.8,0.0,0.0,3.63,9.14,2.81,0.0,0.0,2.53,1.02
2022-01-01 13:00:00,6691.0,7227.0,4000.0,2367.0,10304.0,11064.0,10736.0,34.8,0.0,0.0,3.64,9.14,2.84,0.0,0.0,2.54,1.02
2022-01-01 14:00:00,6736.0,7188.0,4050.0,2371.0,10464.0,11045.0,10859.0,34.9,0.0,0.0,3.66,9.13,2.8,0.0,0.0,2.54,1.02
2022-01-01 15:00:00,6713.0,7174.0,4073.0,2369.0,10656.0,11074.0,10828.0,34.7,0.0,0.0,3.67,9.14,2.81,0.0,0.0,2.55,1.02
2022-01-01 16:00:00,6782.0,7125.0,3995.0,2368.0,10272.0,11054.0,10824.0,34.9,0.0,0.0,3.68,9.13,2.81,0.0,0.0,2.54,1.02
2022-01-01 17:00:00,6695.0,7129.0,4087.0,2333.0,10464.0,11079.0,10799.0,34.8,0.0,0.0,3.68,9.14,2.8,0.0,0.0,2.54,1.01
2022-01-01 18:00:00,6698.0,7079.0,4066.0,2328.0,10656.0,10995.0,10797.0,34.8,0.0,0.0,3.7,9.13,2.82,0.0,0.0,2.54,1.01
2022-01-01 19:00:00,6634.0,6987.0,4068.0,2214.0,10464.0,11054.0,10747.0,34.8,0.0,0.0,3.66,9.22,2.9,0.0,0.0,2.54,1.01
2022-01-01 20:00:00,6424.0,6832.0,4203.0,1975.0,10272.0,10965.0,10855.0,34.8,0.0,0.0,3.67,9.35,3.0,0.0,0.0,2.52,1.01
2022-01-01 21:00:00,6357.0,6729.0,4191.0,1926.0,10656.0,11015.0,10795.0,34.8,0.0,0.0,3.68,9.34,3.07,0.0,0.0,2.53,1.01
2022-01-01 22:00:00,6324.0,6610.0,4182.0,1853.0,10464.0,11027.0,10769.0,34.8,0.0,0.0,3.68,9.38,3.1,0.0,0.0,2.53,1.01
2022-01-01 23:00:00,6219.0,6570.0,4235.0,1760.0,10304.0,11183.0,10795.0,34.7,0.0,0.0,3.67,9.46,3.14,0.0,0.0,2.53,1.01
2022-01-02 00:00:00,6222.0,6585.0,4209.0,1704.0,10464.0,11028.0,10714.0,34.8,0.0,0.0,3.68,9.49,3.19,0.0,0.0,2.53,1.01
2022-01-02 01:00:00,6319.0,6746.0,4183.0,1887.0,10464.0,11032.0,10833.0,34.7,0.0,0.0,3.66,9.4,3.07,0.0,0.0,2.53,1.01
2022-01-02 02:00:00,6470.0,6835.0,4190.0,2011.0,10656.0,11004.0,10820.0,34.8,0.0,0.0,3.68,9.3,2.98,0.0,0.0,2.52,1.01
2022-01-02 03:00:00,6518.0,6867.0,4170.0,2008.0,10272.0,11028.0,10817.0,34.8,0.0,0.0,3.67,9.32,3.0,0.0,0.0,2.53,1.01
2022-01-02 04:00:00,6608.0,7023.0,4368.0,1976.0,10496.0,10998.0,10849.0,34.8,0.0,0.0,3.64,9.2,2.91,0.0,0.0,2.53,1.01
2022-01-02 05:00:00,6658.0,7077.0,4426.0,1973.0,10624.0,11029.0,10807.0,34.9,0.0,0.0,3.67,9.18,2.86,0.0,0.0,2.53,1.01
2022-01-02 06:00:00,6730.0,7171.0,4490.0,1959.0,10304.0,11002.0,10763.0,34.8,0.0,0.0,3.64,9.14,2.82,0.0,0.0,2.53,1.01
2022-01-02 07:00:00,6745.0,7109.0,4473.0,1965.0,10432.0,11045.0,10825.0,34.7,0.0,0.0,3.62,9.16,2.82,0.0,0.0,2.52,1.01
2022-01-02 08:00:00,6450.0,6882.0,4188.0,2000.0,10656.0,11011.0,10765.0,34.8,0.0,0.0,3.65,9.32,3.01,0.0,0.0,2.52,1.01
2022-01-02 09:00:00,6720.0,7131.0,4088.0,2259.0,10464.0,11033.0,10759.0,34.9,0.0,0.0,3.63,9.2,2.84,0.0,0.0,2.53,1.01
2022-01-02 10:00:00,6736.0,7059.0,4101.0,2264.0,10272.0,10979.0,10815.0,34.8,0.0,0.0,3.66,9.17,2.85,0.0,0.0,2.53,1.01
2022-01-02 11:00:00,6648.0,7106.0,4110.0,2264.0,10656.0,10969.0,10736.0,34.7,0.0,0.0,3.68,9.18,2.85,0.0,0.0,2.53,1.02
2022-01-02 12:00:00,6677.0,7044.0,4045.0,2300.0,10464.0,11008.0,10859.0,34.7,0.0,0.0,3.67,9.16,2.87,0.0,0.0,2.53,1.02
2022-01-02 13:00:00,6719.0,7101.0,4073.0,2321.0,10272.0,10998.0,10828.0,34.8,0.0,0.0,3.7,9.17,2.86,0.0,0.0,2.54,1.02
2022-01-02 14:00:00,6748.0,7143.0,4076.0,2318.0,10496.0,11027.0,10824.0,34.8,0.0,0.0,3.68,9.14,2.84,0.0,0.0,2.54,1.02
2022-01-02 15:00:00,6721.0,7185.0,4075.0,2318.0,10624.0,11060.0,10799.0,34.8,0.0,0.0,3.71,9.18,2.84,0.0,0.0,2.53,1.02
2022-01-02 16:00:00,6618.0,6981.0,4112.0,2181.0,10496.0,11017.0,10797.0,34.9,0.0,0.0,3.73,9.22,2.93,0.0,0.0,2.53,1.02
2022-01-02 17:00:00,6684.0,7168.0,4246.0,2147.0,10272.0,11029.0,10747.0,34.9,0.0,0.0,3.72,9.16,2.89,0.0,0.0,2.53,1.02
2022-01-02 18:00:00,6599.0,7040.0,4210.0,2158.0,10464.0,11017.0,10855.0,34.8,0.0,0.0,3.72,9.17,2.86,0.0,0.0,2.53,1.01
2022-01-02 19:00:00,6813.0,7188.0,4381.0,2119.0,10624.0,11026.0,10795.0,34.9,0.0,0.0,3.67,9.11,2.77,0.0,0.0,2.53,1.01
2022-01-02 20:00:00,6856.0,7170.0,4395.0,2119.0,10304.0,10987.0,10769.0,34.7,0.0,0.0,3.67,9.11,2.8,0.0,0.0,2.53,1.01
2022-01-02 21:00:00,6787.0,7203.0,4402.0,2112.0,10464.0,11005.0,10795.0,34.8,0.0,0.0,3.68,9.13,2.79,0.0,0.0,2.53,1.01
2022-01-02 22:00:00,6753.0,7185.0,4376.0,2125.0,10464.0,11024.0,10714.0,34.9,0.0,0.0,3.68,9.09,2.81,0.0,0.0,2.53,1.01
2022-01-02 23:00:00,6769.0,7199.0,4404.0,2113.0,10624.0,11035.0,10833.0,34.8,0.0,0.0,3.66,9.13,2.78,0.0,0.0,2.52,1.01
2022-01-03 00:00:00,6775.0,7192.0,4382.0,2094.0,10304.0,10997.0,10820.0,34.9,0.0,0.0,3.67,9.11,2.78,0.0,0.0,2.52,1.01
2022-01-03 01:00:00,6865.0,7281.0,4488.0,2154.0,10464.0,10989.0,10817.0,34.9,0.0,0.0,3.62,9.04,2.72,0.0,0.0,2.52,1.01
2022-01-03 02:00:00,6923.0,7324.0,4469.0,2189.0,10624.0,11041.0,10849.0,34.8,0.0,0.0,3.65,9.02,2.66,0.0,0.0,2.51,1.01
2022-01-03 03:00:00,6988.0,7323.0,4443.0,2186.0,10304.0,10959.0,10807.0,34.7,0.0,0.0,3.63,9.02,2.68,0.0,0.0,2.52,1.01
2022-01-03 04:00:00,7093.0,7532.0,4627.0,2150.0,10464.0,10982.0,10763.0,34.8,0.0,0.0,3.62,8.95,2.6,0.0,0.0,2.52,1.01
2022-01-03 05:00:00,7057.0,7486.0,4571.0,2150.0,10624.0,10919.0,10825.0,34.9,0.0,0.0,3.62,8.95,2.6,0.0,0.0,2.51,1.0
2022-01-03 06:00:00,6920.0,7416.0,4442.0,2184.0,10464.0,10992.0,10765.0,34.7,0.0,0.0,3.64,9.01,2.68,0.0,0.0,2.52,1.01
2022-01-03 07:00:00,6927.0,7380.0,4419.0,2187.0,10272.0,11003.0,10759.0,34.9,0.0,0.0,3.62,9.0,2.67,0.0,0.0,2.52,1.01
2022-01-03 08:00:00,6804.0,7222.0,4250.0,2221.0,10656.0,10954.0,10815.0,34.8,0.0,0.0,3.65,9.1,2.76,0.0,0.0,2.52,1.01
2022-01-03 09:00:00,6649.0,7033.0,4051.0,2259.0,10464.0,11030.0,10736.0,34.9,0.0,0.0,3.64,9.18,2.85,0.0,0.0,2.52,1.01
2022-01-03 10:00:00,6664.0,7022.0,4095.0,2257.0,10272.0,11071.0,10859.0,34.8,0.0,0.0,3.65,9.18,2.85,0.0,0.0,2.53,1.01
2022-01-03 11:00:00,6687.0,7044.0,4080.0,2257.0,10464.0,11047.0,10828.0,34.7,0.0,0.0,3.66,9.21,2.87,0.0,0.0,2.53,1.02
2022-01-03 12:00:00,6623.0,7073.0,4112.0,2255.0,10656.0,11027.0,10824.0,34.9,0.0,0.0,3.68,9.18,2.88,0.0,0.0,2.53,1.01
2022-01-03 13:00:00,6767.0,7126.0,4175.0,2229.0,10464.0,11017.0,10799.0,34.9,0.0,0.0,3.67,9.15,2.83,0.0,0.0,2.54,1.02
2022-01-03 14:00:00,6813.0,7294.0,4243.0,2253.0,10304.0,11066.0,10797.0,34.7,0.0,0.0,3.67,9.09,2.74,0.0,0.0,2.53,1.02
2022-01-03 15:00:00,6823.0,7244.0,4281.0,2252.0,10624.0,11050.0,10747.0,34.8,0.0,0.0,3.68,9.08,2.75,0.0,0.0,2.53,1.02
2022-01-03 16:00:00,6888.0,7294.0,4307.0,2248.0,10464.0,11000.0,10855.0,34.8,0.0,0.0,3.69,9.09,2.76,0.0,0.0,2.53,1.02
2022-01-03 17:00:00,6627.0,6985.0,4109.0,2177.0,10304.0,11036.0,10795.0,34.8,0.0,0.0,3.68,9.2,2.88,0.0,0.0,2.53,1.01
2022-01-03 18:00:00,6301.0,6786.0,3850.0,2164.0,10464.0,11017.0,10769.0,34.8,0.0,0.0,3.71,9.37,3.07,0.0,0.0,2.53,1.01
2022-01-03 19:00:00,6270.0,6714.0,3851.0,2160.0,10624.0,11043.0,10795.0,34.9,0.0,0.0,3.71,9.36,3.06,0.0,0.0,2.53,1.01
2022-01-03 20:00:00,6282.0,6702.0,3868.0,2162.0,10464.0,11033.0,10714.0,34.8,0.0,0.0,3.71,9.38,3.07,0.0,0.0,2.52,1.01
2022-01-03 21:00:00,6330.0,6676.0,3805.0,2162.0,10304.0,11049.0,10833.0,34.8,0.0,0.0,3.69,9.39,3.07,0.0,0.0,2.52,1.01
2022-01-03 22:00:00,6404.0,6789.0,3825.0,2202.0,10464.0,11046.0,10820.0,34.8,0.0,0.0,3.69,9.36,3.04,0.0,0.0,2.52,1.01
2022-01-03 23:00:00,6337.0,6634.0,3744.0,2202.0,10624.0,11044.0,10817.0,34.8,0.0,0.0,3.67,9.38,3.04,0.0,0.0,2.52,1.01
2022-01-04 00:00:00,6416.0,6754.0,3861.0,2208.0,10304.0,11009.0,10849.0,34.7,0.0,0.0,3.67,9.39,3.07,0.0,0.0,2.52,1.01
2022-01-04 01:00:00,6024.0,6380.0,3926.0,1823.0,10464.0,11060.0,10807.0,34.9,0.0,0.0,3.72,9.56,3.28,0.0,0.0,2.53,1.01
2022-01-04 02:00:00,6012.0,6362.0,3955.0,1812.0,10624.0,11030.0,10763.0,34.7,0.0,0.0,3.7,9.58,3.3,0.0,0.0,2.52,1.01
2022-01-04 03:00:00,6073.0,6535.0,3922.0,1921.0,10464.0,11034.0,10825.0,34.7,0.0,0.0,3.69,9.53,3.22,0.0,0.0,2.52,1.01
2022-01-04 04:00:00,6620.0,7034.0,4432.0,1916.0,10304.0,11024.0,10765.0,34.9,0.0,0.0,3.65,9.2,2.9,0.0,0.0,2.53,1.01
2022-01-04 05:00:00,6800.0,7211.0,4422.0,2081.0,10464.0,11055.0,10759.0,34.7,0.0,0.0,3.65,9.16,2.8,0.0,0.0,2.53,1.01
